,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Ground,Start Date,Match_id,Match_Type,Opponents_Team
73,11,13,9,1,1,122.22,2,caught,1,Mohali,20 Sep 2022,T20I # 1788,T20I , Australia
74,46*,-,20,4,4,230.00,2,not out,2,Nagpur,23 Sep 2022,T20I # 1794,T20I , Australia
75,17,19,14,2,1,121.42,2,caught,2,Hyderabad,25 Sep 2022,T20I # 1796,T20I , Australia
76,120,344,212,15,2,56.60,1,bowled,2,Nagpur,9 Feb 2023,Test # 2490,Test , Australia
77,32,95,69,2,0,46.37,1,bowled,2,Delhi,17 Feb 2023,Test # 2493,Test , Australia
78,31,31,20,3,2,155.00,1,run out,4,Delhi,17 Feb 2023,Test # 2493,Test , Australia
79,12,27,23,3,0,52.17,1,stumped,1,Indore,1 Mar 2023,Test # 2496,Test , Australia
80,12,61,33,0,0,36.36,1,lbw,3,Indore,1 Mar 2023,Test # 2496,Test , Australia
81,35,92,58,3,1,60.34,1,caught,2,Ahmedabad,9 Mar 2023,Test # 2499,Test , Australia
82,13,24,15,2,0,86.66,1,caught,1,Visakhapatnam,19 Mar 2023,ODI # 4541,ODI , Australia
83,30,44,17,2,2,176.47,1,caught,2,Chennai,22 Mar 2023,ODI # 4545,ODI , Australia
84,15,29,26,2,0,57.69,1,lbw,2,The Oval,7 Jun 2023,Test # 2505,Test , Australia
85,43,103,60,7,1,71.66,1,lbw,4,The Oval,7 Jun 2023,Test # 2505,Test , Australia
86,81,94,57,5,6,142.10,1,caught,2,Rajkot,27 Sep 2023,ODI # 4657,ODI , Australia
87,0,10,6,0,0,0.00,1,lbw,2,Chennai,8 Oct 2023,ODI # 4662,ODI , Australia
